"",""SRR349743"",""SRR349744"",""SRR349745"",""SRR349746"",""SRR349747"",""SRR349748"",""SRR349749"",""SRR349750"",""SRR349751"",""SRR349752""
TMEM18,10,1,1,1,0,3,16,0,0,0
TMEM18-DT,2,0,0,0,0,0,1,0,0,0
LOC105373479,0,0,0,0,0,0,0,0,0,0
LOC105373358,0,0,0,0,0,0,0,0,0,0
LOC105373480,0,0,0,0,0,0,0,0,0,0
LINC01115,0,0,0,0,0,0,0,0,0,0
LINC01939,0,0,0,0,0,0,0,0,0,0
SNTG2-AS1,0,0,0,0,0,0,0,0,0,0
SNTG2,7,0,0,0,0,0,0,0,0,0
LOC124905965,0,0,0,0,0,0,0,0,0,0
LOC105373359,0,0,0,0,0,0,0,0,0,0
TPO,1,0,0,0,0,0,0,0,0,0
LALTOP,2,0,0,0,0,0,0,0,0,0
LOC102723730,0,0,0,0,0,0,0,0,0,0
LOC124907722,0,0,0,0,0,0,0,0,0,0
PXDN,120,3,2,4,4,0,0,1,0,0
LOC124907723,4,1,0,0,0,0,0,0,0,0
LOC124907724,0,0,0,0,0,0,0,0,0,0
MYT1L,1,0,0,0,0,0,0,0,0,0
LOC124905967,1,0,0,0,0,0,0,0,0,0
LOC107985838,0,0,0,0,0,0,0,0,0,0
MYT1L-AS1,0,0,0,0,0,0,0,0,0,0
LOC105373389,0,0,0,0,0,0,0,0,0,0
LOC107985839,0,0,0,0,0,0,0,0,0,0
LOC105373390,0,0,0,0,0,0,0,0,0,0
LOC124905968,0,0,0,0,0,0,0,0,0,0
LINC01250,0,0,0,0,0,0,0,0,0,0
LOC124906153,0,0,0,0,0,0,0,0,0,0
LOC107985840,1,0,0,0,0,0,0,0,0,0
EIPR1,53,1,1,8,0,2,78,1,3,2
TRAPPC12,19,0,1,0,1,1,16,0,0,0
TRAPPC12-AS1,2,0,0,0,0,0,5,0,0,0
LOC112268321,1,0,0,0,0,0,0,0,0,0
ADI1,74,8,6,4,2,6,143,5,1,1
LOC124907725,6,0,0,0,0,0,2,0,0,0
RNASEH1,39,1,2,1,2,3,12,3,2,0
RNASEH1-DT,7,1,0,0,0,0,1,0,0,0
LOC124907726,10,1,0,0,0,0,0,0,0,0
RPS7,220,12,22,32,13,14,523,10,7,7
COLEC11,1,0,1,0,0,0,0,0,0,0
ALLC,0,0,0,0,0,0,0,0,0,0
LOC105373393,0,0,0,0,0,0,0,0,0,0
DCDC2C,0,0,0,0,0,0,0,0,0,0
LINC01304,0,0,0,0,0,0,0,0,0,0
LOC105373394,0,0,0,0,0,0,0,0,0,0
LOC105373395,0,0,0,0,0,0,0,0,0,0
LOC105373397,0,0,0,0,0,0,0,0,0,0
LOC107985841,0,0,0,0,0,0,0,0,0,0
LINC01249,0,0,0,0,0,0,0,0,0,0
LOC105373398,0,0,0,0,0,0,0,0,0,0
LOC105373399,0,0,0,0,0,0,0,0,0,0
LOC107985842,0,0,0,0,0,0,0,0,0,0
LOC124905950,0,0,0,0,0,0,0,0,0,0
LOC107985843,0,0,0,0,0,0,0,0,0,0
LINC01248,0,0,0,0,0,0,0,0,0,0
LOC124908052,0,0,0,0,0,0,0,0,0,0
SOX11,13,0,0,0,0,0,0,0,0,0
LOC112268411,0,0,0,0,0,0,0,0,0,0
LINC01810,0,0,0,0,0,0,0,0,0,0
SILC1,0,0,0,0,0,0,0,0,0,0
MIR7158,0,0,0,0,0,0,0,0,0,0
LOC400940,0,0,0,0,0,0,0,0,0,0
LOC105373401,0,0,0,0,0,0,0,0,0,0
LINC01247,0,0,0,0,0,0,0,0,0,0
LOC105373402,0,0,0,0,0,0,0,0,0,0
LINC01824,0,0,0,0,0,0,1,0,0,0
LOC107985845,0,0,0,0,0,0,0,0,0,0
LINC01246,0,0,0,0,0,0,0,0,0,0
LINC03156,0,0,0,0,0,0,0,0,0,0
MIR7515,0,0,0,0,0,0,0,0,0,0
LINC00487,0,0,0,0,0,0,0,0,0,0
LOC105373404,0,0,0,0,0,0,0,0,0,0
NRIR,1,0,0,0,0,0,0,0,0,0
CMPK2,9,1,0,0,2,0,4,0,0,0
RSAD2,15,0,5,0,2,0,5,0,0,0
GRASLND,1,1,0,0,0,0,1,0,0,0
RNF144A,96,3,3,3,2,1,21,1,0,1
LOC101929452,0,0,0,0,0,0,0,0,0,0
LOC124908053,2,0,1,0,0,0,0,0,0,0
LOC107985846,0,0,0,0,0,0,0,0,0,0
LOC107985847,0,0,0,0,0,0,0,0,0,0
LOC105373406,0,0,0,0,0,0,0,0,0,0
LOC100506274,0,0,0,0,0,0,0,0,0,0
LOC105373407,0,0,0,0,0,0,0,0,0,0
LOC101929510,0,0,0,0,0,0,1,0,0,0
LOC107985848,0,0,0,0,0,0,0,0,0,0
LINC01871,0,0,0,0,0,0,4,0,0,0
LOC105373408,0,0,0,0,0,0,0,0,0,0
LOC101929861,0,0,0,0,0,0,0,0,0,0
LOC105373409,0,0,0,0,0,0,0,0,0,0
LOC101929551,0,0,0,0,0,0,0,0,0,0
LINC00298,0,0,0,0,0,0,0,0,0,0
LOC124907727,0,0,0,0,0,0,0,0,0,0
LINC00299,0,0,0,0,0,0,1,0,0,0
LINC01814,0,0,0,0,0,0,0,0,0,0
LOC105373411,0,0,0,0,0,0,0,0,0,0
ID2-AS1,2,0,0,0,0,0,1,0,0,0
ID2,166,1,3,3,7,2,96,0,0,0
KIDINS220,265,8,10,10,5,2,103,2,4,3
MBOAT2,275,11,5,25,5,18,821,9,9,9
LOC124906167,0,0,0,0,0,0,0,0,0,0
LOC124907728,1,0,0,0,0,0,0,0,0,0
LOC124907729,0,0,0,0,0,0,0,0,0,0
LOC105373414,5,0,0,0,0,1,1,1,0,0
LOC105373416,0,0,0,0,0,0,7,0,0,0
LOC105373415,0,0,0,0,0,0,2,0,0,0
LOC105373417,0,0,0,0,0,0,0,0,0,0
ASAP2,108,8,6,9,3,5,101,1,1,1
LOC124907730,8,1,0,0,0,0,0,0,0,0
ITGB1BP1,122,5,8,6,7,5,98,1,3,1
CPSF3,70,3,5,3,2,2,29,2,0,1
IAH1,181,6,7,9,6,7,126,5,2,0
ADAM17,312,17,6,20,12,3,153,4,3,1
LOC124906162,0,0,0,0,0,0,0,0,0,0
LOC101929643,2,1,0,0,0,0,3,0,0,0
YWHAQ,1235,30,45,104,35,43,1660,22,32,18
LOC105373418,0,0,0,0,0,0,0,0,0,0
LOC105373419,0,0,0,0,0,0,0,0,0,0
LOC124905969,5,0,0,0,0,1,6,0,0,0
LOC100996549,6,0,0,0,1,0,3,0,0,0
LOC105373421,4,0,0,1,0,2,102,0,3,5
TAF1B,44,4,2,6,0,2,64,1,0,0
LOC105373422,0,0,0,0,0,0,1,0,1,0
GRHL1,201,4,10,22,3,37,1455,32,29,18
LOC124905970,16,0,1,0,0,1,109,3,1,0
LOC112268412,2,0,0,0,0,0,0,0,0,0
KLF11-DT,0,0,0,0,0,0,0,0,0,0
KLF11,110,1,2,5,3,1,46,1,4,0
CYS1,18,1,0,0,0,0,0,0,0,0
RRM2,72,3,8,6,7,1,19,4,1,0
LOC124906144,0,0,0,0,0,0,0,0,0,0
MIR4261,0,0,0,0,0,0,0,0,0,0
LOC105373424,0,0,0,0,0,0,0,0,0,0
LOC124907731,0,0,0,0,0,0,0,0,0,0
LOC101929691,0,0,0,0,0,0,0,0,0,0
LOC124900530,0,0,0,0,0,0,0,0,0,0
HPCAL1,16,1,0,0,2,0,12,0,0,0
LOC124905972,0,0,0,0,0,0,0,0,0,0
LOC124907732,0,0,0,0,0,0,0,0,0,0
ODC1,266,107,150,170,32,2,51,3,1,1
SNORA80B,10,51,11,20,28,0,34,1,1,3
ODC1-DT,1,0,0,0,0,0,0,0,0,0
LOC105373426,0,0,1,0,0,0,0,0,0,0
NOL10,47,2,3,3,2,1,13,0,0,0
RN7SL832P,6,0,1,1,0,0,2,0,0,0
ATP6V1C2,220,9,5,9,11,11,202,7,5,5
LOC105373428,2,0,0,0,0,0,11,0,0,0
PDIA6,521,27,12,15,20,20,261,9,13,4
LOC124905973,0,0,0,0,0,0,0,0,0,0
LINC01954,0,0,0,0,0,0,0,0,0,0
KCNF1,2,0,0,0,0,0,0,0,0,0
FLJ33534,0,0,0,0,0,0,0,0,0,0
CIMIP5,1,0,0,0,0,0,0,0,0,0
SLC66A3,46,2,1,0,1,0,34,0,0,1
ROCK2,264,10,20,6,7,1,61,2,0,1
LOC124907733,0,0,0,0,0,0,0,0,0,0
PPIAP60,2,0,0,0,0,0,11,1,0,0
LOC124907734,0,0,0,0,0,0,0,0,0,0
LINC00570,0,0,0,0,0,0,0,0,0,0
LOC105373429,0,0,0,0,0,0,0,0,0,0
E2F6,23,0,0,3,2,0,3,1,0,0
GREB1,17,0,0,0,0,0,0,0,0,0
MIR4429,0,0,0,0,0,0,0,0,0,0
NTSR2,0,0,0,0,0,0,0,0,0,0
LPIN1,64,7,5,6,1,28,1478,14,31,15
LOC100506405,0,0,0,0,0,0,0,0,0,0
LOC101929752,0,0,0,0,0,0,1,0,0,0
LOC124907735,1,0,0,0,0,0,5,0,0,0
MIR548S,0,0,0,0,0,0,0,0,0,0
LOC105373430,0,0,0,0,0,0,0,0,0,0
MIR4262,0,0,0,0,0,0,0,0,0,0
MIR3681HG,0,0,0,0,0,0,0,0,0,0
LOC124906141,0,0,0,0,0,0,0,0,0,0
LOC105373433,0,0,0,0,0,0,0,0,0,0
LOC105373432,0,0,0,0,0,0,0,0,0,0
MIR3681,0,0,0,0,0,0,0,0,0,0
LOC105373431,0,0,0,0,0,0,0,0,0,0
LOC107985853,0,0,0,0,0,0,0,0,0,0
LOC124905974,4,0,0,0,1,0,1,0,0,0
TRIB2,90,6,12,4,3,2,18,0,1,0
MIR3125,0,0,0,0,0,0,0,0,0,0
LOC100506474,0,0,0,0,0,0,0,0,0,0
LOC105373436,0,0,0,0,0,0,0,0,0,0
LOC105373484,0,0,0,0,0,0,1,0,0,0
LOC105373437,0,0,0,0,0,0,0,0,0,0
LOC105373485,0,1,0,0,0,1,0,0,0,0
LOC105373438,0,0,0,0,0,0,0,0,0,0
LOC124907736,0,0,0,0,0,0,1,0,0,0
LOC107985854,0,0,0,0,0,0,0,0,0,0
LINC00276,0,0,0,0,0,0,0,0,0,0
LRATD1,150,8,13,2,7,14,302,5,16,4
NBAS,145,12,9,9,7,2,66,2,2,0
LOC105373440,0,0,0,0,0,0,0,0,0,0
LOC124905975,2,0,0,0,0,0,0,0,0,0
DDX1,150,5,20,6,4,2,117,1,3,4
LINC01804,0,0,0,0,0,0,0,0,0,0
LOC124905976,0,0,0,0,0,0,0,0,0,0
LOC124906147,0,0,0,0,0,0,0,0,0,0
MYCNUT,1,0,0,0,0,0,0,0,0,0
MYCNOS,0,0,0,0,0,0,0,0,0,0
MYCN,1,0,0,0,0,0,1,0,0,0
GACAT3,0,0,0,0,0,0,0,0,0,0
LOC105373443,0,0,0,0,0,0,0,0,0,0
LOC124908049,0,0,0,0,0,0,0,0,0,0
LOC107985855,0,0,0,0,0,0,0,0,0,0
LOC105373444,0,0,0,0,0,0,0,0,0,0
CYRIA,55,3,5,1,1,0,11,0,0,0
LINC01866,2,0,0,0,0,0,0,0,0,0
LOC105373447,1,0,0,0,0,0,1,0,0,0
LOC105373448,2,0,0,0,0,0,2,0,0,0
RAD51AP2,8,0,4,0,0,0,3,1,0,0
VSNL1,90,12,35,55,6,13,291,12,4,0
LOC124908054,7,0,3,1,0,3,9,0,0,0
SMC6,99,3,14,2,6,1,22,0,0,0
GEN1,82,4,20,16,6,7,83,3,2,0
LOC105373449,1,0,0,0,0,0,0,0,0,0
MSGN1,1,0,0,0,0,0,2,0,0,0
LOC112267888,0,0,0,0,0,0,0,0,0,0
LOC124907737,2,0,0,0,0,0,0,0,0,0
KCNS3,110,6,6,4,2,1,17,0,0,0
LOC124900534,1,0,0,0,0,0,6,0,0,0
LOC105373451,0,0,0,0,0,0,0,0,0,0
LOC105373454,1,0,0,0,0,0,0,0,0,0
NT5C1B-RDH14,50,2,9,2,2,1,33,1,0,1
RDH14,61,2,9,2,3,2,40,1,0,1
LOC105373456,48,1,2,2,1,2,14,0,0,0
NT5C1B,5,0,0,1,0,0,1,0,0,0
LINC01376,0,0,0,0,0,0,1,0,0,0
LOC124907739,3,0,1,0,0,0,0,0,0,0
LOC124907738,0,0,0,0,0,0,0,0,0,0
OSR1,6,0,0,0,0,0,0,0,0,0
MIR4757,0,0,0,0,0,0,0,0,0,0
LOC105373458,0,0,0,0,0,0,0,0,0,0
LOC101928196,0,0,0,0,0,0,0,0,0,0
LINC01808,0,0,0,0,0,0,0,0,0,0
LOC105373459,0,0,0,0,0,0,0,0,0,0
LOC124905977,0,0,0,0,0,0,3,0,0,0
LOC105373461,0,0,0,0,0,0,0,0,0,0
LINC00954,1,0,0,0,0,0,0,0,0,0
TTC32,8,0,0,1,0,0,2,0,0,0
WDR35,38,0,4,2,0,1,6,1,0,0
WDR35-DT,1,0,0,1,0,0,0,0,0,0
MATN3,25,0,1,0,0,0,0,0,0,0
LAPTM4A,739,15,38,27,13,32,1066,10,19,13
LAPTM4A-DT,2,0,1,0,0,0,0,0,0,0
LOC107985807,0,0,0,0,0,0,0,0,0,0
SDC1,611,15,35,59,21,44,797,22,30,10
LOC124905978,5,0,0,0,0,0,6,0,0,0
PUM2,480,21,49,45,24,19,446,13,9,5
LOC105373465,0,0,0,0,0,0,0,0,0,0
RHOB,570,21,27,11,8,16,240,5,5,1
LOC107985856,0,0,0,0,0,0,0,0,0,0
LOC102724948,1,0,0,0,0,0,0,0,0,0
HS1BP3,35,0,1,0,2,1,23,1,0,0
HS1BP3-IT1,0,0,0,0,0,0,0,0,0,0
LOC124907740,6,0,0,0,0,0,2,0,0,0
LOC105373466,0,0,0,0,0,0,0,0,0,0
GDF7,8,0,0,0,0,1,2,2,0,0
LDAH,42,4,12,8,2,6,73,3,2,1
LINC02850,0,0,0,0,0,0,0,0,0,0
APOB,1,0,0,0,0,0,0,0,0,0
LOC124905593,0,0,0,0,0,0,0,0,0,0
LOC124908055,0,0,0,0,0,0,0,0,0,0
TDRD15,0,0,0,0,0,0,0,0,0,0
LOC105374317,0,0,0,0,0,0,0,0,0,0
LOC105374318,0,0,0,0,0,0,0,0,0,0
LOC100507562,0,0,0,0,0,0,0,0,0,0
LOC107984020,0,0,0,0,0,0,0,0,0,0
LOC101929230,0,0,0,0,0,0,0,0,0,0
LINC01822,0,0,0,0,0,0,0,0,0,0
LOC124908056,0,0,0,0,0,0,0,0,0,0
LOC105374320,0,0,0,0,0,0,0,0,0,0
LOC124905953,0,0,0,0,0,0,0,0,0,0
LINC01830,0,0,0,0,0,0,0,0,0,0
LINC01884,0,0,0,0,0,0,0,0,0,0
LOC107985857,0,0,0,0,0,0,0,0,0,0
LOC124908057,0,0,0,0,0,0,0,0,0,0
LOC107985792,0,0,0,0,0,0,0,0,0,0
LOC107985858,0,0,0,0,0,0,0,0,0,0
LOC102723389,0,0,0,0,0,0,0,0,0,0
LINC02923,2,0,0,0,0,0,1,0,0,0
KLHL29,21,1,2,0,0,0,2,0,0,0
LOC124907741,3,1,0,0,0,0,0,0,0,0
LOC105374325,8,0,0,1,0,0,0,0,0,0
LOC102723401,0,0,0,0,0,0,0,0,0,0
ATAD2B,69,6,8,8,5,4,81,1,0,0
UBXN2A,57,2,5,3,4,4,70,2,2,1
MFSD2B,0,0,0,0,0,0,0,0,0,0
WDCP,32,0,1,4,0,0,21,1,0,0
FKBP1B,15,1,0,0,2,0,15,0,1,1
SF3B6,170,12,10,14,7,9,224,9,5,2
FAM228B,13,1,0,0,0,2,55,2,1,0
TP53I3,119,2,0,1,1,17,442,15,8,8
PFN4,1,0,0,0,0,0,3,0,1,0
LOC105374328,0,0,0,0,0,0,0,0,0,0
FAM228A,0,0,0,0,0,0,0,0,0,0
ITSN2,91,3,5,4,1,8,271,3,4,1
LOC124900541,0,0,0,0,0,0,0,0,0,0
LOC105374329,0,0,0,0,0,0,0,0,0,0
NCOA1,135,5,9,2,4,10,284,1,3,3
PTRHD1,42,1,3,3,2,1,68,2,1,0
LOC105369164,0,0,0,0,0,0,0,0,0,0
CENPO,54,4,5,6,4,1,28,1,0,0
ADCY3,68,7,22,15,10,3,55,1,0,0
LOC105377626,0,0,0,0,0,0,0,0,0,0
LOC124907742,0,0,0,0,0,0,0,0,0,0
DNAJC27,9,0,1,3,2,0,7,0,2,0
DNAJC27-AS1,1,0,0,0,0,0,0,0,0,0
EFR3B,11,0,1,0,2,0,0,0,0,0
POMC,1,3,0,0,0,0,0,0,0,0
LINC01381,0,0,0,0,0,0,0,0,0,0
DNMT3A,45,1,1,4,1,1,11,0,1,0
MIR1301,0,0,0,0,0,0,0,0,0,0
DTNB,23,5,1,1,0,0,25,1,0,0
DTNB-AS1,2,0,0,1,0,0,0,0,0,0
LOC124900608,2,2,0,1,0,1,0,0,0,0
LOC105374332,0,0,0,0,0,0,0,0,0,0
ASXL2,132,3,7,7,8,1,48,1,0,0
KIF3C,26,0,0,0,0,0,0,0,0,0
LOC124907743,2,0,0,0,0,0,3,0,0,0
RAB10,1004,17,35,40,12,99,3864,80,72,44
LOC105374333,19,4,1,1,1,0,26,0,0,0
GAREM2,16,0,1,0,0,1,10,0,1,0
HADHA,178,5,19,8,8,13,197,9,9,3
HADHB,159,7,7,11,7,9,213,4,10,3
LOC105374334,4,0,1,0,0,0,0,0,0,0
ADGRF3,16,0,0,0,0,0,14,0,1,0
SELENOI,464,16,26,36,8,11,357,6,9,2
DRC1,1,0,0,0,0,0,0,0,0,0
OTOF,1,0,0,0,0,0,0,0,0,0
CIMIP2C,0,0,0,0,0,0,0,0,0,0
CIB4,0,0,0,0,0,0,0,0,0,0
KCNK3,4,0,0,0,0,0,1,0,0,0
SLC35F6,118,7,9,6,3,7,156,4,8,3
CENPA,20,3,5,3,2,1,6,1,0,0
DPYSL5,0,0,0,0,0,0,0,0,0,0
LOC124905979,0,0,0,0,0,0,0,0,0,0
MAPRE3,44,0,1,2,1,2,12,0,0,0
MAPRE3-AS1,0,0,0,0,0,0,0,0,0,0
TMEM214,184,6,20,15,5,6,201,3,3,3
AGBL5-AS1,0,0,0,0,0,0,0,0,0,0
AGBL5,131,7,12,7,5,6,171,6,3,2
TRY-GTA2-1,1,0,0,0,0,0,11,0,0,0
TRA-AGC8-1,0,0,0,0,0,0,1,0,0,0
OST4,280,6,11,16,10,12,407,7,5,4
EMILIN1,67,0,3,3,3,0,0,0,0,0
KHK,1,0,0,3,0,0,7,0,0,0
CGREF1,10,0,1,0,0,0,7,0,0,0
LOC124907744,1,0,0,0,0,0,0,0,0,0
ABHD1,3,0,0,0,0,0,1,0,0,0
PREB,69,4,2,3,2,6,73,0,2,0
PRR30,0,0,0,0,0,0,0,0,0,0
TCF23,0,0,0,0,0,0,0,0,0,0
SLC5A6,53,2,8,6,4,3,61,3,2,0
ATRAID,243,3,14,18,5,5,184,5,5,1
CAD,156,8,16,11,4,5,47,0,0,1
SLC30A3,0,0,0,0,0,0,0,0,0,0
DNAJC5G,0,0,0,0,0,0,0,0,0,0
TRIM54,0,0,0,0,0,0,0,0,0,0
UCN,0,0,0,0,0,0,1,0,0,0
MPV17,66,3,5,5,5,3,50,0,1,0
GTF3C2,86,2,16,11,6,8,119,1,3,2
GTF3C2-AS1,10,1,2,1,1,0,9,0,0,1
GTF3C2-AS2,7,0,2,0,1,0,14,0,0,0
EIF2B4,57,4,6,4,2,3,140,0,3,1
SNX17,175,7,19,12,1,9,305,9,7,5
ZNF513,47,3,2,1,1,4,26,1,0,1
PPM1G,68,4,6,4,3,4,50,0,1,2
FTH1P3,92,6,3,2,4,6,130,2,4,2
NRBP1,169,5,4,6,5,11,317,5,6,4
KRTCAP3,0,0,3,1,0,0,20,0,0,0
IFT172,35,1,0,0,0,0,10,0,0,0
FNDC4,15,0,1,0,0,5,78,5,3,2
GCKR,0,0,0,0,0,0,6,0,0,0
SPATA31H1,24,0,1,2,0,2,6,0,0,1
ZNF512,77,2,6,2,3,1,32,1,0,1
CCDC121,10,0,1,0,0,0,6,0,0,0
GPN1,140,7,7,18,7,2,188,2,1,5
LOC124906143,0,0,0,0,0,0,0,0,0,0
SUPT7L,74,3,3,2,1,1,32,0,0,0
SLC4A1AP,17,1,2,0,1,2,9,0,0,0
LINC01460,0,0,0,0,0,0,0,0,0,0
LOC105374378,0,0,0,0,0,0,0,0,0,0
MRPL33,51,3,1,2,0,1,29,1,1,0
RBKS,10,0,0,1,0,1,20,0,0,0
BABAM2,61,2,6,3,2,7,85,2,2,0
BABAM2-AS1,2,0,0,1,0,1,7,1,0,0
LOC105374369,3,1,1,0,0,0,0,0,0,0
MIR4263,0,0,0,0,0,0,0,0,0,0
LOC100505736,0,0,1,0,0,0,0,0,0,0
LOC124907745,6,0,1,0,1,0,1,0,0,0
BABAM2-AS2,3,0,0,0,0,0,1,0,0,0
LOC105374381,1,0,0,0,0,1,1,0,0,0
LOC105374382,0,0,0,0,0,0,0,0,0,0
LOC105374383,0,0,0,0,0,0,0,0,0,0
FOSL2-AS1,4,0,0,0,0,0,3,0,0,0
FOSL2,441,9,25,15,7,28,455,9,13,6
LOC102723530,0,0,0,0,0,0,1,0,0,0
PLB1,6,1,0,0,0,0,7,1,0,0
LOC124907746,0,0,0,0,0,0,0,0,0,0
LOC105374384,0,0,0,0,0,0,0,0,0,0
LOC100505774,0,0,0,0,0,0,0,0,0,0
PPP1CB-DT,3,0,2,0,1,0,0,0,1,0
PPP1CB,1037,31,70,48,19,32,1384,22,20,11
SPDYA,16,0,1,2,0,1,9,1,0,0
TRMT61B,50,1,3,7,2,3,30,2,0,1
WDR43,133,4,20,16,4,7,57,1,0,2
SNORD92,1,0,0,0,0,0,0,0,0,0
SNORD53,1,0,0,0,0,0,0,0,0,0
SNORD53B,2,1,0,0,1,0,5,0,0,2
TOGARAM2,4,0,0,0,0,0,1,0,0,0
PCARE,0,0,0,0,0,0,2,0,0,0
LOC105374386,0,0,0,0,0,0,1,0,0,0
CLIP4,169,16,17,32,15,10,231,10,3,1
LOC124907747,1,0,0,0,0,0,3,0,0,0
ALK,0,0,0,0,1,0,0,0,0,0
LOC101929386,0,0,0,0,0,0,0,0,0,0
LOC105374389,0,0,0,0,0,0,0,0,0,0
LOC124907748,0,0,0,0,0,0,0,0,0,0
YPEL5,306,8,9,12,6,17,439,8,10,4
LOC105374414,0,0,0,0,0,0,0,0,0,0
SNORA10B,4,2,1,4,11,2,27,0,5,4
LOC124907749,0,0,0,0,0,0,0,0,0,0
LBH,111,5,6,1,6,1,8,0,0,0
LOC102723594,0,0,0,0,0,0,0,0,0,0
LINC01936,2,0,0,0,0,0,0,0,0,0
LCLAT1,95,4,10,2,4,0,23,0,1,0
CAPN13,6,0,0,0,0,0,5,0,0,1
LOC124905982,0,0,0,0,0,0,0,0,0,0
LOC105374435,0,0,0,0,0,0,0,0,0,0
LOC124907750,0,0,0,0,0,0,0,0,0,0
GALNT14,40,9,0,0,2,4,125,1,6,3
LOC107985861,0,0,0,0,0,0,0,0,0,0
CAPN14,15,0,8,6,0,164,2334,78,87,27
EHD3,101,5,6,6,2,45,1014,26,25,19
LOC124905983,1,0,1,1,0,0,37,2,1,1
LOC124907751,1,0,0,0,0,0,1,0,0,0
XDH,47,0,0,1,1,16,294,2,4,1
SRD5A2,0,0,0,0,0,0,0,0,0,0
LOC107985862,0,0,0,0,0,0,0,0,0,0
LOC107985863,0,0,0,0,0,0,0,0,0,0
LINC01946,0,0,0,0,0,0,0,0,0,0
MEMO1,74,4,5,1,1,2,149,7,4,3
DPY30,70,2,2,4,1,3,70,3,3,0
SPAST,122,14,19,10,7,1,114,2,4,1
SLC30A6-DT,0,0,0,0,0,0,0,0,0,0
SLC30A6,211,15,11,28,13,4,195,4,1,1
NLRC4,3,0,0,0,1,0,1,0,0,0
YIPF4,264,10,15,19,4,14,492,2,5,3
BIRC6,777,30,48,46,28,17,498,8,12,1
MIR558,0,0,0,0,0,0,0,0,0,0
BIRC6-AS2,0,1,0,1,0,0,0,0,0,0
LOC124905985,0,0,0,0,0,0,0,0,0,0
TTC27,44,2,4,7,2,3,43,1,2,0
MIR4765,0,0,0,0,0,0,0,0,0,0
LINC00486,0,0,0,0,0,0,0,0,0,0
LOC105374453,0,0,0,0,0,0,0,0,0,0
LOC100271832,0,0,0,0,0,0,0,0,0,0
LTBP1,738,9,6,15,2,2,14,0,1,0
MIR4430,0,0,0,0,0,0,0,0,0,0
RASGRP3,33,1,0,0,1,0,7,0,0,0
RASGRP3-AS1,2,0,0,0,0,0,2,0,0,0
FAM98A,85,1,5,8,2,3,35,2,0,0
LOC105374455,1,0,0,0,0,0,0,0,0,0
LOC124905986,0,0,0,0,0,0,0,0,0,0
LINC01317,0,0,0,0,0,0,0,0,0,0
MYADML,0,0,0,0,0,0,0,0,0,0
LOC124905987,0,0,0,0,0,0,0,0,0,0
LOC105374456,0,0,0,0,0,0,0,0,0,0
LINC01318,0,0,0,0,0,0,0,0,0,0
LOC105374457,0,0,0,0,0,0,0,0,0,0
LOC105374459,0,0,0,0,0,0,0,0,0,0
LINC01320,0,0,0,0,0,0,0,0,0,0
LOC107985865,0,0,0,0,0,0,0,0,0,0
LOC105374458,0,0,0,0,0,0,0,0,0,0
LOC124907752,0,0,0,0,0,0,0,0,0,0
LOC105374461,0,0,0,0,0,0,0,0,0,0
LOC107985808,0,0,0,0,0,0,0,0,0,0
MIR548AD,0,0,0,0,0,0,0,0,0,0
LOC107985866,0,0,0,0,0,0,0,0,0,0
CRIM1-DT,1,0,0,0,0,0,0,0,0,0
CRIM1,178,15,15,13,3,3,42,2,0,0
LOC124907753,10,0,1,2,0,0,1,1,0,0
LOC124905989,0,0,0,0,0,0,0,0,0,0
FEZ2,81,3,6,7,3,0,34,2,0,0
LOC124905990,0,0,0,0,0,0,1,0,0,0
VIT,5,1,0,2,0,0,30,2,2,0
STRN,237,14,15,23,6,26,1022,14,19,16
HEATR5B,78,2,5,5,1,2,83,2,2,1
GPATCH11,20,1,0,4,1,0,4,0,0,0
EIF2AK2,311,13,29,39,18,5,67,2,4,0
SULT6B1,0,0,0,0,0,0,0,0,0,0
CEBPZOS,110,10,10,11,4,2,133,3,1,2
CEBPZ,158,11,18,11,7,1,77,1,5,2
NDUFAF7,47,2,0,4,2,2,27,0,2,1
PRKD3,202,17,1,10,4,3,89,4,3,0
PRKD3-DT,1,0,0,0,0,0,1,0,0,0
LOC124907754,2,0,0,0,0,0,1,0,0,0
QPCT,40,1,0,0,0,0,3,1,0,0
LOC107985868,1,0,0,0,0,0,0,0,0,0
LOC124905991,0,0,0,0,0,0,0,0,0,0
LINC03063,0,0,0,0,0,0,0,0,0,0
CDC42EP3,132,11,11,2,9,2,23,1,1,0
LOC107985870,0,0,0,0,0,0,0,0,0,0
LOC105374465,0,0,0,0,0,0,0,0,0,0
LOC107985869,1,0,0,0,0,0,0,0,0,0
PIRAT1,0,0,0,0,0,0,0,0,0,0
RMDN2,11,0,1,0,0,0,10,0,0,0
RMDN2-AS1,0,0,0,0,0,0,0,0,0,0
CYP1B1,162,3,7,3,7,0,6,0,1,0
LOC107985871,2,0,0,0,0,0,0,0,0,0
CYP1B1-AS1,0,0,0,0,0,0,0,0,0,0
LOC102723739,2,0,0,0,0,0,0,0,0,0
LOC105374467,0,0,0,0,0,0,0,0,0,0
ATL2,240,16,30,33,10,8,343,8,6,2
LOC105374468,0,0,1,0,0,0,2,0,0,0
LINC01883,0,0,0,0,0,0,0,0,0,0
LINC02613,1,0,0,0,0,0,0,0,0,0
HNRNPLL,93,3,4,2,1,0,40,1,2,0
GALM,39,0,0,3,4,2,18,0,0,0
LOC124905993,5,0,0,0,0,0,1,0,0,0
